access,acess,addr:city,addr:country,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:state,addr:street,addr:suburb,addr:unit,amenity,amenity_1,atm,barrier,bicycle,brand,brand:wikidata,brand:wikipedia,brewery,building:levels,bus,capacity,cuisine,delivery,description,dispensing,drive_through,element_type,email,emergency,entrance,foot,geometry,healthcare,healthcare:speciality,highway,horse,internet_access,internet_access:fee,leisure,level,motor_vehicle,motorcar,motorcycle,name,name:en,name:pt,name:ru,natural,network,note,office,opening_hours,operator,operator:wikidata,operator:wikipedia,osmid,outdoor_seating,parking,payment:cash,payment:credit_cards,payment:debit_cards,phone,public_transport,religion,service:bicycle:repair,shop,short_name,smoking,sport,takeaway,traffic_calming,website,wheelchair,wifi,alt_name,building,building:colour,building:material,building:use,denomination,disused:amenity,fax,food,height,historic,indoor,internet_access:ssid,landuse,library,license_classes,lit,nodes,object,pedestrian,restaurant,roof:colour,roof:height,roof:levels,roof:material,roof:orientation,roof:shape,room,school,self_service,source,square,stars,start_date,surface,tipo,tourism,trailer,university,wikidata,wikipedia,type,ways,fixme,image
,,Fortaleza,,,315,,,,Rua Nestor Barbosa,Amadeu Furtado,,hospital,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5581389 -3.7446813),,,,,,,,,,,,Hospital São José,,,,,,,,,,,,477364089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.6352003 -3.7659073),,,,,,,,,,,,EEF Rita de Cássia,,,,,,,,,,,,479158289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.6365049 -3.7664212),,,,,,,,,,,,EEFM José Sarney,,,,,,,,,,,,479158348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5479362 -3.7392969),,,,,,,,,,,,Farmácia Pague Menos,,,,,,,,,,,,479233880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5351475 -3.730595),,,,,,,,,,,,Colégio 7 de Setembro,,,,,,,,,,,,479233973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5515754 -3.7245996),,,,,,,,,,,,Farmácia Pague Menos,,,,,,,,,,,,479234523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5145948 -3.7311626),,,,,,,,,,,,Extrafarma,,,,,,,,,,,,482168663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5125263 -3.7318221),,,,,,,,,,,,Pague Menos,,,,,,,,,,,,482168667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.4963964 -3.7474789),,,,,,,,,,,,,,,,,,,,,,,,571724625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.4906255 -3.7498967),,,,,,,,,,,,Pague Menos,,,,,,,,,,,,571728169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.4951641 -3.743632),,,,,,,,,,,,Pague Menos,,,,,,,,,,,,571728171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.4956384 -3.7473164),,,,,,,,,,,,Boteco,,,,,,,,,,,,571728174,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,,,630,,60135-460,,Rua Israel Bezerra,Dionísio Torres,,school,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.495632 -3.7501429),,,,,,,,,,,,Colégio Christus,,,,,,,,,,,,571728347,,,,,,+55 85 3277 1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,bank,,yes,,,,,,,,,,,,,,,node,,,,,POINT (-38.5226499 -3.7338785),,,,,,,,,,,,,,,,,,,,,Banco Central - Fortaleza,,,616060495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5456588 -3.7299181),,,,,,,,,,,,Farmácia Bompreço,,,,,,,,,,,,616060496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5369342 -3.7342639),,,,,,,,,,,,Colégio São Rafael,,,,,,,,,,,,616060510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,fast_food,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5149542 -3.7310064),,,,,,,,,,,,Jairo's,,,,,,,,,,,,618064631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,BR,,531,,60115-280,,Rua Doutor José Lourenço,,,hospital,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5048677 -3.7288029),,,,,,,,,,,,ProntoCárdio Emergência,,,,,,,,,,,,620869897,,,,,,85-3268-2739,,,,,,,,,,http://www.prontocardio.com.br/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,BR,,855,,,,Avenida Barão de Studart,,,restaurant,,,,,,,,,,,,italian,,,,,node,,,,,POINT (-38.5054914 -3.7320914),,,,,,,,,,,,L'escale Florence,,,,,,,,,,,,620869901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,BR,,825,,,,Avenida Barão de Studart,,,restaurant,,,,,,,,,,,,seafood,,,,,node,,,,,POINT (-38.5053626 -3.7317167),,,,,,,,,,,,Sirigado,,,,,,,,,,,,620869908,,,,,,85-3261-7272,,,,,,,,,,http://www.sirigaddo.com.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,BR,,1785,,60160-041,,Rua Tenente Benévolo,Meireles,,restaurant,,,,,,,,,,,,japanese,,,,,node,,,,,POINT (-38.5051988 -3.7292008),,,,,,,,,,,,Mikado,,,,,,,,,,,,620869909,no,,,,,+55 85 3244 2024,,,,,,,,,,http://www.mikado.com.br,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,BR,,999,,,,Avenida Barão de Studart,,,restaurant,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5055987 -3.7323912),,,,,,,,,,,,Novo Fogão,,,,,,,,,,,,620869911,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.4912757 -3.7345257),,,,,,,,,,,,Zug Choperia,,,,,,,,,,,,622049097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,BR,,747,,60160-140,,Rua República do Líbano,Meireles,,hospital,,,,,,,,,,,,,,,,,node,,yes,,,POINT (-38.4933034 -3.7321663),,,,,,,,,,,,Hospital Monte Klinikum,,,,,,,,,,,,622049157,,,,,,+55 85 4012 0012,,,,,,,,,,http://www.monteklinikum.com.br,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.512416 -3.729727),,,,,,,,,,,,Darwin,,,,,,,,,,,,622790137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,,,777,,,,Rua Doutor José Lourenço,Aldeota,,hospital,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5063563 -3.7307265),,,,,,,,,,,,Hospital São Raimundo,,,,,,,,,,,,623200433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,,,1956,,60160-194,,Rua Pereira Filgueiras,Aldeota,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5051464 -3.7309786),,,,,,,,,,,,Extrafarma,,,,,,,,Mo-Sa 07:00-22:00; Su 08:00-21:00,,,,623732953,,,,,,+55 85 3263 2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
