,addr:city,addr:housenumber,addr:postcode,addr:street,ais,amenity,in:pois,lat,lon,name
477364089,Fortaleza,315,,Rua Nestor Barbosa,6,hospital,True,-3.7446813,-38.5581389,Hospital São José
2613646012,Fortaleza,747,,Rua Alexandre Baraúna,6,pharmacy,True,-3.7494762,-38.5501805,Pague Menos (Rodolfo Teófilo)
3469922228,Fortaleza,1014,60525632,Rua Júlio Braga,6,school,True,-3.7756278,-38.5799058,Colégio Uma Janela Para o Mundo
3965914604,,,,Avenida Mister Hull,6,fast_food,True,-3.7378343,-38.5715759,Cantina da Agronomia
4478095429,Fortaleza,1020,,Rua Vital Brasil,6,school,True,-3.7801109,-38.5898834,E.M.E.I.F. Francisca Fernandes Magalhães
4478095431,Fortaleza,788,,Rua Emílio de Menezes,6,restaurant,True,-3.7812805,-38.5886879,Churrascaria e Pizzaria Mikaella
4478095434,Fortaleza,326,,Rua Anselmo Nogueira,6,restaurant,True,-3.7811454,-38.5872916,Restaurante & Pizzaria Mouras
4478095438,Fortaleza,315,,Rua Emílio de Menezes,6,school,True,-3.7826541,-38.5846434,Colégio Castro
4478095458,Fortaleza,s/n,,Rua Verbena,6,school,True,-3.7884154,-38.5893389,E.T.I. Maria do Socorro Alves Carneiro
4493447610,Fortaleza,1626,,Rua Matos Vasconcelos,6,university,True,-3.7580067,-38.5567263,FATENE Faculdade de Tecnologia do Nordeste
4494954276,Fortaleza,1426,,Rua Capitão Francisco Pedro,6,restaurant,True,-3.7503462,-38.5519597,Franguinho da Mídia
4494954278,Fortaleza,1545,,Rua Professor Costa Mendes,6,restaurant,True,-3.7498465,-38.5525191,Picanha do Rodolfo Teófilo
4494954279,Fortaleza,1609,,Rua Professor Costa Mendes,6,post_office,True,-3.7494903,-38.5529487,Correios (Rodolfo Teófilo)
4494970787,Fortaleza,1649,,Rua Professor Costa Mendes,6,restaurant,True,-3.7492653,-38.5531156,Lu Gregorio Doces & Salgados
4494970788,Fortaleza,1659,,Rua Professor Costa Mendes,6,restaurant,True,-3.7491482,-38.5531878,Aki Lanches
4494972189,Fortaleza,1315,,Rua Coronel Nunes de Melo,6,university,True,-3.7489502,-38.5528224,Faculdade de Medicina UFC
4494994989,Fortaleza,949,,Rua Alexandre Baraúna,6,university,True,-3.748338,-38.5514962,Faculdade de Farmácia e Enfermagem UFC
4494994990,Fortaleza,996,,Rua Alexandre Baraúna,6,restaurant,True,-3.7478429,-38.5516992,Celli Salgados
4494994992,Fortaleza,s/n,,Rua Monsenhor Furtado,6,university,True,-3.7481309,-38.5508195,Faculdade de Odontologia UFC
4495003389,Fortaleza,1074,,Rua Alexandre Baraúna,6,restaurant,True,-3.7473702,-38.5522089,Antenor Lanches
4495003390,Fortaleza,1098,,Rua Alexandre Baraúna,6,restaurant,True,-3.7472037,-38.5523803,Vera Restaurante
4495003391,Fortaleza,1128,,Rua Alexandre Baraúna,6,restaurant,True,-3.7470461,-38.5525607,Self-Service & Pizzaria Sandubão
4495031626,Fortaleza,1010,,Rua Francisca Clotilde,6,pub,True,-3.7457701,-38.5557306,Bar da Cal
4495031628,Fortaleza,190,,Rua Francisca Clotilde,6,pub,True,-3.7469889,-38.5569103,Bigod's Bar
4495578617,Fortaleza,388,,Rua Carvalho Mota,6,fast_food,True,-3.7383359,-38.5445412,Iolanda Lanches
4495578618,Fortaleza,191,,Avenida Jovita Feitosa,6,restaurant,True,-3.7377552,-38.5456464,Choppicanha Restaurante
4495592487,Fortaleza,170,,Avenida Jovita Feitosa,6,restaurant,True,-3.7373816,-38.5453306,DOM SPETO (Jovita)
4495597090,Fortaleza,184,,Rua Major Pedro Sampaio,6,restaurant,True,-3.7390111,-38.5467606,C P V Restaurante
4495639553,Fortaleza,987,,Rua Minervino de Castro,6,school,True,-3.7401499,-38.5472658,Colégio Deoclécio Ferro
4495639559,Fortaleza,674,,Avenida Jovita Feitosa,6,restaurant,True,-3.7382729,-38.5499047,Restaurante Veríssimo
4495639560,Fortaleza,159,,Rua Francisca Clotilde,6,restaurant,True,-3.7394072,-38.5497062,Churrasquinho da Esquina
4495639561,Fortaleza,25,,Rua Francisca Clotilde,6,restaurant,True,-3.7393757,-38.550022,Pizzaria Tia Glória
4495656566,Fortaleza,838,,Rua Padre Cícero,6,pharmacy,True,-3.7401814,-38.549422,Farmácia Cura Ativa
4495656568,Fortaleza,376,,Rua Major Pedro Sampaio,6,school,True,-3.7412482,-38.549016,Colégio Vasconcelos Vieira
4495699135,Fortaleza,392,,Rua Francisca Clotilde,6,restaurant,True,-3.7415749,-38.5520723,Churrascaria do Manuel
